text,intent,tags
Kích thước bn shop,request#size,O O O O
Shop còn quây toyhouse ko?,inform,O O B-inform#object_type B-inform#brand O
Be rong dai bao nhieu ghe nay,request#size,O O O O O B-inform#object_type O
Còn khuyen mai 10% không shop,ask_confirm,O B-ask_confirm#promotion I-ask_confirm#promotion I-ask_confirm#promotion O O
Jum là ghế nhún cho bé đúng ko ạ,ask_confirm,B-inform#brand O B-ask_confirm#object_type I-ask_confirm#object_type O O O O O
Shop ơi xe đẩy aprica tại shop chế độ bảo hành thế nào ạ,request#guarantee,O O B-inform#object_type I-inform#object_type B-inform#brand O O O O O O O O O
Nồi kia là ghế đa năng phải ko b nhỉ,ask_confirm,O O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O O
Mình muốn mua kệ đựng đồ cho bé,inform,O O O B-inform#object_type I-inform#object_type O O O
shop ơi thảm silicon hàn quốc loại gập còn mẫu số 1 k ah,inform,O O B-inform#object_type B-inform#material B-inform#origin I-inform#origin O O O O O O O O
Đây là xe thăng bằng nadle đúng ko bạn?,ask_confirm,O O B-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type I-ask_confirm#object_type O O O
Thảm này bằng chất liệu h ah,request#material,B-inform#object_type O O O O O O
Alb oi,greet,O O
Cho mình hỏi đây là arau đúng k b,ask_confirm,O O O O O B-ask_confirm#brand O O O
Khăn yodo xiui là của nước nào vậy b,request#origin,B-inform#object_type B-inform#brand I-inform#brand O O O O O O
Không phải loại ghê ăn dặm đâu,deny,O O O B-deny#object_type I-deny#object_type I-deny#object_type O
Bạn chụp cận mặt thảm giúp minh dc ko,request#image,O O O O B-inform#object_type O O O O
"nặng khoảng 5,8kg k bạn",ask_confirm,O O B-ask_confirm#weight O O
cám ơn b ạ,thanks,O O O O
Bảo hành 5 năm đúng ko shop,ask_confirm,B-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee I-ask_confirm#guarantee O O O
La nguoi hay chatbot the,ask_is_bot,O O O O O
Vang thanks shop ah,thanks,O O O O
B ơi cho m xin link mua máy hút mũi nha b,request#link,O O O O O O O B-inform#object_type I-inform#object_type I-inform#object_type O O
Be phao xai dc kg a,ask_confirm,O B-ask_confirm#object_type O O O O
Rất đẹp thank,thanks,O O O
Hàng này của việt nam ah chị,ask_confirm,O O O B-ask_confirm#origin I-ask_confirm#origin O O
Nó ko phải là nhựa,deny,O O O O B-deny#material
Ko phải càu trượt ạ,deny,O O B-deny#object_type I-deny#object_type O
Mjnk ko thichs mau hồng,deny,O O O B-deny#color I-deny#color
Ghế rung còn được giảm 50 % không hả shop,ask_confirm,B-inform#object_type I-inform#object_type O O O B-ask_confirm#promotion I-ask_confirm#promotion O O O
Thế ghế ô tô zaracos ngồi từ khi nào đến khi nào,request#age_of_use,O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#brand O O O O O O O
