text,intent,tags
shoppp ơiii,greet,O O
"có váy cho be 13 t, 43kg ko?",ask_if_sells,O B-inform#object_type O O B-inform#age I-inform#age B-inform#weight O
đầm này con sale k b,request#promotion,B-inform#object_type B-inform#mention O O O O
cho mình xin mẫu áo khoác nhỏ nhất dc ko,request#product,O O O O B-inform#object_type I-inform#object_type O O O O
uh nhà mình có ship đơn về thanh hóa k em,ask_about_ship,O O O O O O O B-inform#location I-inform#location O O
"b ơi bé cao 1,4m, nặng 35kg mặc size nào b.",ask_if_fit,O O O O B-inform#height O B-inform#weight O O O O
m cám ơn nl,thank,O O O O
thế có bán online ko e,ask_if_sells#online,O O O O O O
bên b có quần đùi cho bé trai 20 tháng 12kg k ạ,ask_if_sells,O O O B-inform#object_type I-inform#object_type O B-inform#gender I-inform#gender B-inform#age I-inform#age B-inform#weight O O
shop cho m xem mẫu áo dài cho bé 6 tuổi,request#product,O O O O O B-inform#object_type I-inform#object_type O O B-inform#age I-inform#age
quần này vải gì e,request#material,B-inform#object_type B-inform#mention B-inform#material O O
món này đang sale 50% à b,request#promotion,O O O O O O O
có áo dài cho be 3t k ạ,ask_if_sells,O B-inform#object_type I-inform#object_type O O B-inform#age O O
không có áo mẹ à sop,ask_if_sells,O O B-inform#object_type O O O
mấy mẫu này có 40 kg mặc vừa ko,ask_if_fit,O B-inform#mention I-inform#mention O B-inform#weight I-inform#weight O O O
cho mình hỏi bạn có cửa hàng nào gần trung hòa. cầu giấy không,request_shop_address,O O O O O O O O O O O B-inform#location I-inform#location O
có màu đen với hồng k ạ,ask_if_sells,O B-ask_if_sells#color I-ask_if_sells#color O B-ask_if_sells#color O O
áo dạ size 10 bé 30kg mặc đc ko ạ?,ask_if_fit,B-inform#object_type I-inform#object_type O O O B-inform#weight O O O O
alo alooooo,greet,O O
bên m có quần tất trắng cho bé k ạ,ask_if_sells,O O O B-inform#object_type I-inform#object_type B-inform#color O O O O
ko có màu hồng ah b,ask_if_sells,O O B-ask_if_sells#color I-ask_if_sells#color O O
co size cho bé 8 tuổi nặng 30kg cao 1m32 ko ạ,ask_if_sells#size,O O O O B-inform#age I-inform#age O B-inform#weight O B-inform#height O O
có mẫu nào quần chun k shop lwi,ask_if_sells,O O O B-inform#object_type I-inform#object_type O O O
shop ơi chatbot a,ask_is_bot,O O O O
vâng ạ có gì e sẽ qua shop xem và lấy hàng ạ,agree,O O O O O O O O O O O O O
shop có bán online k,ask_if_sells#online,O O O O O
cho m hỏi shop sóc sơn có giảm k a,request#promotion,O O O O B-inform#location I-inform#location O O O O
cho m xin vài mẫu quần dài bé trai 9t,request#product,O O O O O B-inform#object_type I-inform#object_type B-inform#gender I-inform#gender B-inform#age
shop còn chân váy bò này size 5 k ah?,ask_availability#size,O O B-inform#object_type I-inform#object_type I-inform#object_type B-inform#mention O O O O
chị ơi ở cửa hàng k closet hải dương có bộ này ko c,ask_if_sells,O O O O O O O B-inform#location I-inform#location O B-inform#object_type B-inform#mention O O
"mẫu váy còn size bé28kg cao 1,30m ko shop",ask_availability#size,O B-inform#object_type O O O O B-inform#height O O
bên mình có ship cod ko ạ?,ask_about_ship,O O O O O O O
size cho bé 11 tuổi nặng 41 kg,inform,O O O B-inform#age I-inform#age O B-inform#weight I-inform#weight
bé nhà c 30kg có vừa k,ask_if_fit,O O O B-inform#weight O O O
ma m muon lay tru hao size 6t,order_request,O O O O O O O B-inform#age
bộ này có còn cho bé 8 tuổi k ak,ask_availability,B-inform#object_type B-inform#mention O O O O B-inform#age I-inform#age O O
