text,intent,tags
sale ntn bạn,request#promotion,O O O
có 2 màu ah e,request_more#color,O O O O O
ben b k ban online a,ask_if_sells#online,O O O O O O
vâng ạ để chiều em qa mua,agree,O O O O O O O
cho chị hỏi có cửa hàng ở hà đông k cho chi địa chir,request_shop_address,O O O O O O O B-inform#location I-inform#location O O O O O
ở sh có bán gấu bông ks closet ko ạ,ask_if_sells,O O O O B-inform#object_type I-inform#object_type O O O O
chào e bé trai 20kg còn ko e,ask_availability,O O B-inform#gender I-inform#gender B-inform#weight O O O
bộ này có màu khác ko ạ?,request_more#color,B-inform#object_type B-inform#mention O O O O O
vậy cho mình lấy size 11 nhé,order_request,O O O O O O O
bộ trên còn ko b,ask_availability,B-inform#object_type B-inform#mention O O O
bạn check hộ mình nhé,handoff,O O O O O
số này gọi điện cho mình,handoff,O O O O O O
màu hồng còn k ạ,ask_availability,B-ask_availability#color I-ask_availability#color O O O
áo hoodie này có những màu nào nữa,request_more#color,B-inform#object_type I-inform#object_type B-inform#mention O O O O O
chất liệu vải như thế nào ak,request#material,O O O O O O O
shop có thể cho mình xem một số mẫu đc k ạ,handoff,O O O O O O O O O O O O
kiểu màu đen có màu khác cho chị thêm 1 cái nữa,request_more#color,O B-inform#color I-inform#color O O O O O O O O O
bạn ơi sao t theo dõi kclset trên shoppee mà ko có mã voucher 30k,handoff,O O O O O O O O O O O O O O O
bé nhà mình nặng 20kg cao 1m22,inform,O O O O B-inform#weight O B-inform#height
mình xem váy bên trong nào,handoff,O O B-inform#object_type O O O
bé cao 1m45,inform,O O B-inform#height
mẫu dưới đây còn size cho bạn 26kg cao 1m25 k shop,ask_availability#size,O O O O O O O B-inform#weight O B-inform#height O O
cho c lấy 1 bộ này nhé,order_request,O O O O B-inform#mention B-inform#mention O
e ơi bộ này e có size cho bé 3t 95cm 15kg k,ask_if_sells#size,O O B-inform#object_type B-inform#mention O O O O O B-inform#age B-inform#height B-inform#weight O
nhà m có sooc bò bé gái 13 cân k ạ,ask_if_sells,O O O B-inform#object_type B-inform#material B-inform#gender I-inform#gender B-inform#weight I-inform#weight O O
mẫu này có màu khác ko em ơi,request_more#color,B-inform#mention I-inform#mention O O O O O O
mua online k đc ạ?,ask_if_sells#online,O O O O O
chân váy này có sz 40kg ko shop,ask_if_sells#size,B-inform#object_type I-inform#object_type B-inform#mention O O B-inform#weight O O
ib mình giá 2 set này với,request#price,O O O O B-inform#object_type B-inform#mention O
có mẫu này cho bé 10 tuổi k ạ,ask_if_sells,O O O O O B-inform#age I-inform#age O O
của chị hết nhiu vay e,request#price,O O O O O O
mẫu này cửa hàng ở linh đàm có ko bạn,ask_if_sells,B-inform#mention I-inform#mention O O O B-inform#location I-inform#location O O O
